model,roc_auc,pr_auc,f1,precision,recall,accuracy,cv_pr_auc
gradient_boosting,0.9262361698706676,0.7390726537275113,0.6298984034833092,0.7068403908794788,0.5680628272251309,0.8965936739659367,0.7380011175969804
random_forest,0.9195340213644723,0.7079295065857651,0.6458982346832814,0.5352839931153184,0.8141361256544503,0.8617193836171938,0.7228434504743675
logistic_regression,0.8932442142074746,0.6224148753045339,0.5916666666666667,0.4913494809688581,0.743455497382199,0.8410381184103812,0.6570605506434397
dummy,0.5,0.1549067315490673,0.0,0.0,0.0,0.8450932684509327,0.15470397012817047
